From: horizons@ssd.jpl.nasa.gov (Horizons Ephemeris System)
Subject: [Horizons] SMALL BODY #C(500@10)_T(294P/LINEAR) (1/1)
Date: March 1, 2021 at 1:23:06 PM PST

Automated mail xmit by MAIL_REQUEST, PID= 2301 Mon Mar  1 13:23:05 2021
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++
*******************************************************************************
JPL/HORIZONS                     294P/LINEAR               2021-Mar-01 13:23:05
Rec #:90001207 (+COV) Soln.date: 2020-Aug-24_11:21:22    # obs: 233 (2008-2020)

IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):

 EPOCH=  2455453.5 ! 2010-Sep-14.0000000 (TDB)    RMSW= n.a.
  EC= .59860595579441     QR= 1.282207367182481   TP= 2454634.1137687592
  OM= 314.3382997405063   W= 234.1686463827063    IN= 18.5417644487203
  A= 3.194385631007886    MA= 141.4528559476477   ADIST= 5.106563894833291
  PER= 5.709383686909     N= .172632693           ANGMOM= .024628122
  DAN= 3.15551            DDN= 1.51785            L= 187.0458706
  B= -14.940339           MOID= .37877601         TP= 2008-Jun-16.6137687592

Comet physical (GM= km^3/s^2; RAD= km):
  GM= n.a.                RAD= n.a.
  M1=  17.9     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.

COMET comments 
1: soln ref.= JPL#31, data arc: 2008-01-13 to 2020-08-15
2: k1=4.5;
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Mar  1 13:23:05 2021 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: 294P/LINEAR                     {source: JPL#31}
Center body name: Sun (10)                        {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Dec-31 00:00:00.0000 TDB
Step-size       : 10080 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 6 (LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
 EPOCH=  2455453.5 ! 2010-Sep-14.0000000 (TDB)    RMSW= n.a.                  
  EC= .59860595579441     QR= 1.282207367182481   TP= 2454634.1137687592      
  OM= 314.3382997405063   W= 234.1686463827063    IN= 18.5417644487203        
 Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
  X= 4.802646792981135E+00  Y=-8.300213617794382E-01  Z= 7.806433313612899E-01
 VX= 1.695053486109830E-03 VY= 3.714368393819112E-03 VZ= 3.255088968444543E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
  GM= n.a.                RAD= n.a.                                           
  M1=  17.9     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.            
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                     LT,                     RG,                     RR,
**************************************************************************************************************************
$$SOE
2447892.500000000, A.D. 1990-Jan-01 00:00:00.0000,  2.385432824338085E-02,  4.130248901390935E+00, -3.789724484814210E-03,
2447899.500000000, A.D. 1990-Jan-08 00:00:00.0000,  2.369986235491941E-02,  4.103503961872578E+00, -3.851754998767501E-03,
2447906.500000000, A.D. 1990-Jan-15 00:00:00.0000,  2.354288034801293E-02,  4.076323369950290E+00, -3.914197656789750E-03,
2447913.500000000, A.D. 1990-Jan-22 00:00:00.0000,  2.338336541832282E-02,  4.048704216043039E+00, -3.977059734964282E-03,
2447920.500000000, A.D. 1990-Jan-29 00:00:00.0000,  2.322130045199646E-02,  4.020643536979098E+00, -4.040348937193118E-03,
2447927.500000000, A.D. 1990-Feb-05 00:00:00.0000,  2.305666803578739E-02,  3.992138317748307E+00, -4.104072339947979E-03,
2447934.500000000, A.D. 1990-Feb-12 00:00:00.0000,  2.288945048167446E-02,  3.963185495764737E+00, -4.168236497723643E-03,
2447941.500000000, A.D. 1990-Feb-19 00:00:00.0000,  2.271962984421676E-02,  3.933781963871620E+00, -4.232847605960256E-03,
2447948.500000000, A.D. 1990-Feb-26 00:00:00.0000,  2.254718793390562E-02,  3.903924572653153E+00, -4.297911543931309E-03,
2447955.500000000, A.D. 1990-Mar-05 00:00:00.0000,  2.237210633008766E-02,  3.873610132672076E+00, -4.363433863707400E-03,
2447962.500000000, A.D. 1990-Mar-12 00:00:00.0000,  2.219436639457747E-02,  3.842835416826621E+00, -4.429419772084942E-03,
2447969.500000000, A.D. 1990-Mar-19 00:00:00.0000,  2.201394928601967E-02,  3.811597162837231E+00, -4.495874102975274E-03,
2447976.500000000, A.D. 1990-Mar-26 00:00:00.0000,  2.183083597828656E-02,  3.779892076432017E+00, -4.562801076891735E-03,
2447983.500000000, A.D. 1990-Apr-02 00:00:00.0000,  2.164500730264792E-02,  3.747716838648224E+00, -4.630203284498141E-03,
2447990.500000000, A.D. 1990-Apr-09 00:00:00.0000,  2.145644403545337E-02,  3.715068121013968E+00, -4.698080975043078E-03,
2447997.500000000, A.D. 1990-Apr-16 00:00:00.0000,  2.126512695390162E-02,  3.681942595204383E+00, -4.766434321670622E-03,
2448004.500000000, A.D. 1990-Apr-23 00:00:00.0000,  2.107103681189335E-02,  3.648336928860670E+00, -4.835264035951607E-03,
2448011.500000000, A.D. 1990-Apr-30 00:00:00.0000,  2.087415435661436E-02,  3.614247788461388E+00, -4.904569499487785E-03,
2448018.500000000, A.D. 1990-May-07 00:00:00.0000,  2.067446040008131E-02,  3.579671851710207E+00, -4.974348107189676E-03,
2448025.500000000, A.D. 1990-May-14 00:00:00.0000,  2.047193590011003E-02,  3.544605821555145E+00, -5.044595247781754E-03,
2448032.500000000, A.D. 1990-May-21 00:00:00.0000,  2.026656204282717E-02,  3.509046440475013E+00, -5.115304211741106E-03,
2448039.500000000, A.D. 1990-May-28 00:00:00.0000,  2.005832033130431E-02,  3.472990505825932E+00, -5.186465989758497E-03,
2448046.500000000, A.D. 1990-Jun-04 00:00:00.0000,  1.984719268361601E-02,  3.436434886819564E+00, -5.258069015642245E-03,
