From: horizons@ssd.jpl.nasa.gov (Horizons Ephemeris System)
Subject: [Horizons] SMALL BODY #C(500@10)_T(305P/Skiff) (1/1)
Date: March 1, 2021 at 1:23:07 PM PST

Automated mail xmit by MAIL_REQUEST, PID= 2301 Mon Mar  1 13:23:07 2021
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++
*******************************************************************************
JPL/HORIZONS                     305P/Skiff                2021-Mar-01 13:23:06
Rec #:90001218 (+COV) Soln.date: 2016-Aug-16_16:14:25    # obs: 552 (2004-2015)

IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):

 EPOCH=  2455717.5 ! 2011-Jun-05.0000000 (TDB)    RMSW= n.a.
  EC= .6961317748629123   QR= 1.403996422371097   TP= 2456980.6451281747
  OM= 242.0209241571325   W= 144.8966784182669    IN= 11.5203604187501
  A= 4.620412093886077    MA= 234.6465597638855   ADIST= 7.836827765401056
  PER= 9.9318301144075    N= .09923914            ANGMOM= .026545703
  DAN= 5.53184            DDN= 1.51726            L= 27.4642765
  B= 6.5948172            MOID= .42767099         TP= 2014-Nov-19.1451281747

Comet physical (GM= km^3/s^2; RAD= km):
  GM= n.a.                RAD= n.a.
  M1=  14.2     M2=  18.7     k1=  17.    k2=  5.      PHCOF=  .030

COMET comments 
1: soln ref.= JPL#39, data arc: 2004-10-07 to 2015-03-09
2: k1=17., k2=5., phase coef.=0.03;
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Mar  1 13:23:06 2021 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: 305P/Skiff                      {source: JPL#39}
Center body name: Sun (10)                        {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Dec-31 00:00:00.0000 TDB
Step-size       : 10080 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 6 (LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
 EPOCH=  2455717.5 ! 2011-Jun-05.0000000 (TDB)    RMSW= n.a.                  
  EC= .6961317748629123   QR= 1.403996422371097   TP= 2456980.6451281747      
  OM= 242.0209241571325   W= 144.8966784182669    IN= 11.5203604187501        
 Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
  X=-5.461903947558364E+00  Y=-4.238118612041112E+00  Z=-2.404082328472203E+00
 VX= 3.755454381837337E-03 VY=-1.636398090293014E-03 VZ= 1.764728209381624E-04
Comet physical (GM= km^3/s^2; RAD= km):                                        
  GM= n.a.                RAD= n.a.                                           
  M1=  14.2     M2=  18.7     k1=  17.    k2=  5.      PHCOF=  .030           
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                     LT,                     RG,                     RR,
**************************************************************************************************************************
$$SOE
2447892.500000000, A.D. 1990-Jan-01 00:00:00.0000,  4.525348278565958E-02,  7.835397654153088E+00, -1.049646998185699E-05,
2447899.500000000, A.D. 1990-Jan-08 00:00:00.0000,  4.525258495839674E-02,  7.835242200181457E+00, -3.391985730325429E-05,
2447906.500000000, A.D. 1990-Jan-15 00:00:00.0000,  4.525074003528680E-02,  7.834922761647274E+00, -5.734935827675000E-05,
2447913.500000000, A.D. 1990-Jan-22 00:00:00.0000,  4.524794776459465E-02,  7.834439294963954E+00, -8.078494705260885E-05,
2447920.500000000, A.D. 1990-Jan-29 00:00:00.0000,  4.524420790913920E-02,  7.833791759064866E+00, -1.042262681745732E-04,
2447927.500000000, A.D. 1990-Feb-05 00:00:00.0000,  4.523952023464686E-02,  7.832980113386795E+00, -1.276735212072577E-04,
2447934.500000000, A.D. 1990-Feb-12 00:00:00.0000,  4.523388449228135E-02,  7.832004314845072E+00, -1.511271699072656E-04,
2447941.500000000, A.D. 1990-Feb-19 00:00:00.0000,  4.522730041351410E-02,  7.830864316945417E+00, -1.745877000441058E-04,
2447948.500000000, A.D. 1990-Feb-26 00:00:00.0000,  4.521976771144756E-02,  7.829560070013061E+00, -1.980555256187587E-04,
2447955.500000000, A.D. 1990-Mar-05 00:00:00.0000,  4.521128608459681E-02,  7.828091521847510E+00, -2.215309489365679E-04,
2447962.500000000, A.D. 1990-Mar-12 00:00:00.0000,  4.520185522204050E-02,  7.826458618614395E+00, -2.450141298931049E-04,
2447969.500000000, A.D. 1990-Mar-19 00:00:00.0000,  4.519147480935978E-02,  7.824661305873785E+00, -2.685050933216119E-04,
2447976.500000000, A.D. 1990-Mar-26 00:00:00.0000,  4.518014452997470E-02,  7.822699528811560E+00, -2.920040218961015E-04,
2447983.500000000, A.D. 1990-Apr-02 00:00:00.0000,  4.516786404094016E-02,  7.820573228048615E+00, -3.155122330719513E-04,
2447990.500000000, A.D. 1990-Apr-09 00:00:00.0000,  4.515463291745715E-02,  7.818282330033282E+00, -3.390321578296325E-04,
2447997.500000000, A.D. 1990-Apr-16 00:00:00.0000,  4.514045066168666E-02,  7.815826748567408E+00, -3.625645708855849E-04,
2448004.500000000, A.D. 1990-Apr-23 00:00:00.0000,  4.512531678308739E-02,  7.813206398716399E+00, -3.861087191787317E-04,
2448011.500000000, A.D. 1990-Apr-30 00:00:00.0000,  4.510923081656256E-02,  7.810421199951249E+00, -4.096642657491223E-04,
2448018.500000000, A.D. 1990-May-07 00:00:00.0000,  4.509219229732427E-02,  7.807471071796421E+00, -4.332314778149064E-04,
2448025.500000000, A.D. 1990-May-14 00:00:00.0000,  4.507420074320234E-02,  7.804355930766740E+00, -4.568109053764699E-04,
2448032.500000000, A.D. 1990-May-21 00:00:00.0000,  4.505525564721480E-02,  7.801075689081000E+00, -4.804032084161550E-04,
2448039.500000000, A.D. 1990-May-28 00:00:00.0000,  4.503535647479363E-02,  7.797630254181616E+00, -5.040090826976505E-04,
2448046.500000000, A.D. 1990-Jun-04 00:00:00.0000,  4.501450266336816E-02,  7.794019528662494E+00, -5.276292093534599E-04,
