From: horizons@ssd.jpl.nasa.gov (Horizons Ephemeris System)
Subject: [Horizons] SMALL BODY #C(500@10)_T(398P/Boattini) (1/1)
Date: March 5, 2021 at 3:22:06 PM PST

Automated mail xmit by MAIL_REQUEST, PID= 24865 Fri Mar  5 15:22:06 2021
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++
*******************************************************************************
JPL/HORIZONS                    398P/Boattini              2021-Mar-05 15:22:06
Rec #:90001322 (+COV) Soln.date: 2021-Jan-21_12:11:57   # obs: 1705 (2009-2021)

IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):

 EPOCH=  2457277.5 ! 2015-Sep-12.0000000 (TDB)    RMSW= n.a.
  EC= .5800840555922504   QR= 1.316970059933817   TP= 2457186.6837644051
  OM= 127.5968752769021   W= 320.1312021672604    IN= 10.98066781019765
  A= 3.136270669100871    MA= 16.11562916253121   ADIST= 4.955571278267925
  PER= 5.5542895872679    N= .177453168           ANGMOM= .024814726
  DAN= 1.43986            DDN= 3.75092            L= 88.24809430000001
  B= -7.0134466           MOID= .356098           TP= 2015-Jun-13.1837644051

Comet physical (GM= km^3/s^2; RAD= km):
  GM= n.a.                RAD= n.a.
  M1=  15.2     M2=  n.a.     k1=  11.    k2= n.a.     PHCOF= n.a.

Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au):
  AMRAT=  0.                                      DT=  0.
  A1= 1.701021641493E-9   A2= 1.638960391283E-9   A3= 9.040023386478E-10
Standard model:
  ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808

COMET comments 
1: soln ref.= JPL#K203/1, data arc: 2009-08-26 to 2021-01-05
2: k1=11.;
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Fri Mar  5 15:22:06 2021 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: 398P/Boattini                   {source: JPL#K203/1}
Center body name: Sun (10)                        {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Dec-31 00:00:00.0000 TDB
Step-size       : 20160 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
 EPOCH=  2457277.5 ! 2015-Sep-12.0000000 (TDB)    RMSW= n.a.                  
  EC= .5800840555922504   QR= 1.316970059933817   TP= 2457186.6837644051      
  OM= 127.5968752769021   W= 320.1312021672604    IN= 10.98066781019765       
 Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
  X=-1.437683048286652E+00  Y= 6.879935427333392E-01  Z= 4.353926649301281E-01
 VX=-1.242897641234258E-02 VY=-1.039607875622626E-02 VZ=-1.135679715615141E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
  GM= n.a.                RAD= n.a.                                           
  M1=  15.2     M2=  n.a.     k1=  11.    k2= n.a.     PHCOF= n.a.            
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
  AMRAT=  0.                                      DT=  0.                     
  A1= 1.701021641493E-9   A2= 1.638960391283E-9   A3= 9.040023386478E-10      
Standard model:                                                               
  ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2447892.500000000, A.D. 1990-Jan-01 00:00:00.0000,  3.475808961887443E-02, -5.005421272719969E+00,  5.712350011827845E-01,  5.095955343065206E-03,  4.346291099616470E-04, -5.733585198224128E-04,  2.909724229314904E-02,  5.038031328680662E+00, -4.616681444089676E-04,
2447906.500000000, A.D. 1990-Jan-15 00:00:00.0000,  1.060884349071712E-01, -4.998201501871784E+00,  5.630788269211594E-01,  5.093710085650072E-03,  5.968430480365481E-04, -5.917782436305873E-04,  2.905627097822692E-02,  5.030937365408292E+00, -5.517810471123221E-04,
2447920.500000000, A.D. 1990-Jan-29 00:00:00.0000,  1.773711423791928E-01, -4.988707388329274E+00,  5.546660736971595E-01,  5.089144225721514E-03,  7.595445962044955E-04, -6.100130351084579E-04,  2.900800661293972E-02,  5.022580649609384E+00, -6.420667329932755E-04,
2447934.500000000, A.D. 1990-Feb-12 00:00:00.0000,  2.485734926674899E-01, -4.976931737091970E+00,  5.459993115507673E-01,  5.082225349989134E-03,  9.227854216457473E-04, -6.280657556662848E-04,  2.895243407003454E-02,  5.012958562081291E+00, -7.325528369063973E-04,
2447948.500000000, A.D. 1990-Feb-26 00:00:00.0000,  3.196623200004818E-01, -4.962866638606817E+00,  5.370810686061447E-01,  5.072920810244323E-03,  1.086617244007416E-03, -6.459393003998230E-04,  2.888953604627421E-02,  5.002068106861374E+00, -8.232667999667104E-04,
2447962.500000000, A.D. 1990-Mar-12 00:00:00.0000,  3.906039654061582E-01, -4.946503451891345E+00,  5.279138361524555E-01,  5.061192515915419E-03,  1.251092356761579E-03, -6.636360451479473E-04,  2.881929298886295E-02,  4.989905898487987E+00, -9.142363680126573E-04,
2447976.500000000, A.D. 1990-Mar-26 00:00:00.0000,  4.613641980319538E-01, -4.927832817501540E+00,  5.185000745683992E-01,  5.046997359607104E-03,  1.416260502585722E-03, -6.811581232958955E-04,  2.874168318852012E-02,  4.976468178115708E+00, -1.005486512144251E-03,
2447990.500000000, A.D. 1990-Apr-09 00:00:00.0000,  5.319081916045881E-01, -4.906844698431988E+00,  5.088422120312565E-01,  5.030294965118824E-03,  1.582170954463608E-03, -6.985079660540472E-04,  2.865668305893004E-02,  4.961750861900568E+00, -1.097040651950874E-03,
2448004.500000000, A.D. 1990-Apr-23 00:00:00.0000,  6.022005299812064E-01, -4.883528271343764E+00,  4.989426526905917E-01,  5.011036201856296E-03,  1.748886094228294E-03, -7.156861526437467E-04,  2.856426661340110E-02,  4.945749450386399E+00, -1.188934545611801E-03,
2448018.500000000, A.D. 1990-May-07 00:00:00.0000,  6.722049798706011E-01, -4.857871886267421E+00,  4.888038003311019E-01,  4.989157853652237E-03,  1.916458813146504E-03, -7.326927945421805E-04,  2.846440520583401E-02,  4.928458983654865E+00, -1.281195131861098E-03,
2448032.500000000, A.D. 1990-May-21 00:00:00.0000,  7.418844399560559E-01, -4.829863185499396E+00,  4.784280523820136E-01,  4.964598630190394E-03,  2.084940016068228E-03, -7.495284285136366E-04,  2.835706824386709E-02,  4.909874164802733E+00, -1.373846203194252E-03,
2448046.500000000, A.D. 1990-Jun-04 00:00:00.0000,  8.112009251918775E-01, -4.799489073543272E+00,  4.678178023407945E-01,  4.937292827740108E-03,  2.254383887086973E-03, -7.661930424560428E-04,  2.824222310852402E-02,  4.889989346029333E+00, -1.466913844087443E-03,
2448060.500000000, A.D. 1990-Jun-18 00:00:00.0000,  8.801154861351774E-01, -4.766735686912227E+00,  4.569754476531121E-01,  4.907168393270447E-03,  2.424845453985223E-03, -7.826861322719314E-04,  2.811983505049095E-02,  4.868798510677487E+00, -1.560424156755160E-03,
2448074.500000000, A.D. 1990-Jul-02 00:00:00.0000,  9.485881411100540E-01, -4.731588400270895E+00,  4.459033929789593E-01,  4.874151593982953E-03,  2.596379234862485E-03, -7.990072719279059E-04,  2.798986731616527E-02,  4.846295295058161E+00, -1.654400946656709E-03,
