From: horizons@ssd.jpl.nasa.gov (Horizons Ephemeris System)
Subject: [Horizons] SMALL BODY #C(500@10)_T(Nevski (C/2013 V3)) (1/1)
Date: February 16, 2021 at 11:04:59 AM PST

Automated mail xmit by MAIL_REQUEST, PID= 28663 Tue Feb 16 11:04:59 2021
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++


*******************************************************************************
Ephemeris / MAIL_REQUEST Tue Feb 16 11:04:59 2021 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: Nevski (C/2013 V3)              {source: JPL#31}
Center body name: Sun (10)                        {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Oct-29 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Oct-29 00:00:00.0000 TDB
Step-size       : 20160 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
 EPOCH=  2456629.5 ! 2013-Dec-03.0000000 (TDB)    RMSW= n.a.                  
  EC= .8909685922028165   QR= 1.386692685403626   TP= 2456595.4058257584      
  OM= 100.9181160202745   W= 339.6433006262093    IN= 32.13447939562106       
 Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
  X=-4.220175135953236E-01  Y= 1.245369132198301E+00  Z= 6.423329144276033E-01
 VX=-1.652721873713522E-02 VY=-5.155256370474021E-03 VZ= 9.023088112088525E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
  GM= n.a.                RAD= n.a.                                           
  M1=  15.2     M2=  n.a.     k1=  7.     k2= n.a.     PHCOF= n.a.            
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455498.500000000, A.D. 2010-Oct-29 00:00:00.0000,  3.814345782724269E+00, -8.389770367772535E+00, -1.355614446369247E+00, -4.955510651661939E-05,  6.304955128007046E-03, -7.162328353880305E-04,  5.380079658685787E-02,  9.315319162613029E+00, -5.594570569862077E-03,
2455512.500000000, A.D. 2010-Nov-12 00:00:00.0000,  3.813512835771889E+00, -8.301198297906163E+00, -1.365592454246463E+00, -6.951956910185499E-05,  6.348302695551180E-03, -7.091583426199275E-04,  5.334703943142410E-02,  9.236753546612142E+00, -5.629165242536208E-03,
2455526.500000000, A.D. 2010-Nov-26 00:00:00.0000,  3.812396892592028E+00, -8.212014906581521E+00, -1.375469779607859E+00, -8.998603420383605E-05,  6.392290069830245E-03, -7.018480407770561E-04,  5.289046634197314E-02,  9.157700366750211E+00, -5.664224747534091E-03,
2455540.500000000, A.D. 2010-Dec-10 00:00:00.0000,  3.810990797828612E+00, -8.122211100469745E+00, -1.385243053928687E+00, -1.109729058126752E-04,  6.436936316422067E-03, -6.942922946786847E-04,  5.243103920984564E-02,  9.078153024717418E+00, -5.699761681218338E-03,
2455554.500000000, A.D. 2010-Dec-24 00:00:00.0000,  3.809287155010878E+00, -8.031777530776182E+00, -1.394908774202387E+00, -1.324945118789554E-04,  6.482260406054744E-03, -6.864815500107967E-04,  5.196871903758932E-02,  8.998104768314203E+00, -5.735786069584937E-03,
2455568.500000000, A.D. 2011-Jan-07 00:00:00.0000,  3.807278373060006E+00, -7.940704488729631E+00, -1.404463294037138E+00, -1.545693996002152E-04,  6.528295173907893E-03, -6.784043691800845E-04,  5.150346557212382E-02,  8.917548627935764E+00, -5.772321479375521E-03,
2455582.500000000, A.D. 2011-Jan-21 00:00:00.0000,  3.804956476126880E+00, -7.848981833826279E+00, -1.413902794747555E+00, -1.772302241928967E-04,  6.575065403690131E-03, -6.700482404826518E-04,  5.103523651792522E-02,  8.836477280339139E+00, -5.809389589387071E-03,
2455596.500000000, A.D. 2011-Feb-04 00:00:00.0000,  3.802313061175473E+00, -7.756599132147407E+00, -1.423223286100529E+00, -2.005051603266019E-04,  6.622591107419754E-03, -6.614009391581117E-04,  5.056398820948001E-02,  8.754883165075038E+00, -5.847005110527343E-03,
